,Project,Tag,Type,Timeline,Service Year (SY),Construction Year (CY),Final Permitting Year (FPY),Initial Permitting Year (IPY),Proposal Year (PY),Overall_Time (years) [PY - SY],Initial Development Year (IDY),Overall_Time (years) [IDY - SY],Length (km),Length (mile),Converter Station 1,Converter Station 2,Region,Country,Continent,Cost_Raw (million USD),Cost (USD per mile),PPI_Adjustment (2022 USD),Cost_Adjusted (million USD 2022),Power_Rating (MW),Voltage_Rating (kV),Project_Location,Cost per mile (million USD 2022),Cost per mile - GW (million USD 2022),Cost per km (million USD 2022),Cost per km - GW (million USD 2022),Project_Website
0,Trans Bay Cable,Trans Bay Cable,HVDC,Operation,2010,2007,2007,2004,2004,6,2004,6,85,53,"Pittsburg, CA","San Francisco, CA",CAISO,USA,North America,440,8.30,1.58,695,400,200,UW/UG,13.11,32.78,8.15,20.37,https://www.transbaycable.com/
1,Pecos West Intertie,Pecos West,HVDC,Planned,2029,,2024,,2020,9,2020,9,451,280,"Bakersfield, Texas","El Paso, Texas",ERCOT,USA,North America,1000,3.57,1.00,1000,1500,525,OH,3.57,2.38,2.22,1.48,https://pecoswest.com/
2,Southern Spirit,Southern Spirit,HVDC,Planned,2028,2025,,2014,2010,18,2010,18,515,320,Western Louisiana,Mississippi,ERCOT - MISO,USA,North America,2500,7.81,1.00,2500,3000,525,OH,7.81,2.60,4.85,1.62,https://patternenergy.com/projects/southern-spirit-transmission/
3,New England Clean Energy Connect,NECEC,HVDC,Planned,2025,2021,2019,2017,2017,8,2017,8,233,145,Quebec,Maine (CMP),ISO NE,USA/Canada,North America,1500,10.34,1.00,1500,1200,320,OH,10.34,8.62,6.43,5.36,https://www.necleanenergyconnect.org/
4,Northern Pass,Northern Pass,HVDC,Cancelled,2019,,2018,2010,2010,9,2008,11,309,192,Quebec,"Franklin, NH",ISO NE,USA/Canada,North America,1600,8.33,1.28,2053,1200,320,OH,10.69,8.91,6.65,5.54,https://www.energy.gov/nepa/eis-0463-northern-pass-transmission-line-project-new-hampshire 
5,Cross Sound Cable,Cross Sound Cable,HVDC,Operation,2004,2002,2001,2000,1999,5,1999,5,39,24,"New Haven, Connecticut","Long Island, NY",ISO NE,USA,North America,125,5.21,1.87,234,330,150,UW/UG,9.74,29.52,6.05,18.34,https://library.e.abb.com/public/4664a655cb2a707fc1256f4100471f03/PT_Cross_SoundCable.pdf
6,Twin States Clean Energy Link,TSCL,HVDC,Planned,2031,2026,,,2023,8,2023,8,163,101,Quebec,"Monroe, NH",ISO NE,USA/Canada,North America,1820,18.02,1.00,1820,1200,320,UG/UW,18.02,15.02,11.20,9.33,https://www.twinstatescleanenergylink.com/project
7,SouthCoast Wind,SouthCoast Wind,HVDC,Planned,2028,,2024,2021,2019,9,2019,9,113,70,Offshore; 30 miles south of Martha's Vineyard and 20 miles south of Nantucket,"Falmouth, MA",ISO NE,USA,North America,550,7.86,1.00,550,1200,320,UW/UG,7.86,6.55,4.88,4.07,https://southcoastwind.com/project-description/
8,New England Clean Power Link,NECPL,HVDC,Cancelled,2017,,2017,2013,2013,4,2010,7,241,150,Quebec,"Ludlow, VT",ISO NE,USA/Canada,North America,1600,10.67,1.34,2149,1000,320,UW/UG,14.33,14.33,8.90,8.90,http://www.necplink.com/
9,North Plains Connector,North Plains Connector,HVDC,Planned,2029,,2025,2023,2022,7,2022,7,621,386,"Colstrip, Montana","Center, North Dakota",MISO,USA,North America,3200,8.29,1.00,3200,3000,525,OH,8.29,2.76,5.15,1.72,https://northplainsconnector.com/
